Supermercado,Fecha_extraccion,Categoria,Articulo,Precio,id,Nombre_Extraido,Detalle_Extraido,Marca_Extraida,Cantidad_Extraida
IBERIA,03-09-2025 18:01:08,Abarrotes,HERAS CORDON VINO RESERVA RIOJA 0.75L,1200.0,702,Vino Reserva Rioja,,Heras Cordon,0.75L
IBERIA,13-11-2025 13:14:52,Hogar,Olla de Cristal con Tapa,795.0,1647,Olla de Cristal con Tapa,,,
IBERIA,03-09-2025 18:01:08,Abarrotes,HERAS CORDON VINO TINTO RIOJA 750 ML,850.0,703,Vino tinto Rioja,,Heras Cordon,750 ml
IBERIA,03-09-2025 20:02:59,Cosmeticos,CONST BAY RUM 45G 1/2 BOT,90.0,1585,BAY RUM,,CONST,45G 1/2 BOT
IBERIA,13-11-2025 13:14:52,Hogar,Recipiente para Alimentos de Aluminio con individuales,415.0,1648,Recipiente para Alimentos,"de Aluminio, individuales",,
IBERIA,03-09-2025 18:01:08,Abarrotes,HERSHEYS CARAMEL SYRUP 22 OZ,320.0,704,HERSHEYS CARAMEL SYRUP,,HERSHEYS,22 OZ
IBERIA,13-11-2025 13:14:52,Hogar,Set Bowls Plásticos con tapa 3 Unidades,370.0,1649,Set Bowls Plásticos,con tapa,,3 Unidades
IBERIA,03-09-2025 18:01:08,Abarrotes,HERSHEYS CHOCO SYRUP 24 OZ,315.0,705,CHOCO SYRUP,,HERSHEYS,24 OZ
IBERIA,03-09-2025 20:02:59,Cosmeticos,TRATAMIENTO INTENSIVO BABA DE CARACOL SE,210.0,1586,TRATAMIENTO INTENSIVO BABA DE CARACOL,,,
IBERIA,03-09-2025 20:03:41,De Primera,GEL ANTIBACTERIAL DE PRIMERA 500ML,180.0,1587,Gel Antibacterial,De primera calidad,,500ml
IBERIA,03-09-2025 18:01:08,Abarrotes,HERSHEYS STRAWBERRY SYRUP 22 OZ,310.0,706,STRAWBERRY SYRUP,,HERSHEYS,22 OZ
IBERIA,13-11-2025 13:14:52,Hogar,Set de Fuente de Cerámica con Tapa,360.0,1650,Set de Fuente de Cerámica con Tapa,,,
IBERIA,03-09-2025 18:01:08,Abarrotes,HUNTS SALSA BBQ ORIGINAL REF:S58403,150.0,707,Salsa BBQ Original,,Hunts,
IBERIA,13-11-2025 13:14:52,Hogar,Set de vasos brocado Kriska 4 unidades,265.0,1651,Vasos brocado,Set de 4 unidades,Kriska,4 unidades
IBERIA,03-09-2025 20:07:02,Electrodomesticos,BASE MADERA NACIONAL ESPECIAL TWIN #39,2755.0,1588,BASE MADERA NACIONAL ESPECIAL TWIN #39,,NACIONAL,
IBERIA,13-11-2025 13:14:52,Hogar,Set envase Plastico 2 unidades,120.0,1652,Set envase Plastico,2 unidades,,2 unidades
IBERIA,03-09-2025 18:01:08,Abarrotes,IBERIA ARROZ BASICO 10 LB,345.0,708,ARROZ BASICO,,IBERIA,10 LB
IBERIA,03-09-2025 20:07:02,Electrodomesticos,SKYWORTH GOOGLE TV 32PUL FULL HD # TS32E,11000.0,1589,SKYWORTH GOOGLE TV,32PUL FULL HD,SKYWORTH,
IBERIA,03-09-2025 18:01:08,Abarrotes,IBERIA ARROZ SELECTO 10 LB,385.0,709,ARROZ SELECTO,,IBERIA,10 LB
IBERIA,03-09-2025 20:07:02,Electrodomesticos,SKYWORTH GOOGLE TV D/40 PULG FULL HD # T,15695.0,1590,SKYWORTH GOOGLE TV,D/40 PULG FULL HD,SKYWORTH,
IBERIA,13-11-2025 13:14:52,Hogar,Tarro de Condimento de Cocina,450.0,1653,Condimento de Cocina,,,tarro
IBERIA,03-09-2025 20:14:49,Farmacia,ATERINA 200 MG SUSP/ 30 ML,715.0,1591,ATERINA,SUSP,,30 ML
IBERIA,18-11-2025 15:54:22,Galletas,GALLETA  HATUEY SODA 20UD,145.0,1654,Galleta Hatuey Soda,,Hatuey,20 UD
IBERIA,03-09-2025 18:01:08,Abarrotes,INDUVECA SALCHICHAS VIENA SABROSA 5 OZ #,42.0,710,SALCHICHAS VIENA SABROSA,,INDUVECA,5 oz
IBERIA,03-09-2025 20:14:49,Farmacia,AZIBIOTIC 1G 3TABLETAS ACROMAX,1450.0,1592,AZIBIOTIC,1G 3TABLETAS,ACROMAX,3 TABLETAS
IBERIA,28-01-2026 16:56:09,Abarrotes,POLLO FRESCO,95.0,1655,POLLO FRESCO,,,
IBERIA,03-09-2025 18:01:08,Abarrotes,ISOMIL NO. 1 POLVO /400 GRS,955.0,712,ISOMIL NO. 1,Polvo,Isomil,400 GRs
IBERIA,03-09-2025 18:01:08,Abarrotes,INFUSION FRUTAS TROP/FRUTOS DEL BOSQUE 1,270.0,711,Infusión Frutas Tropicales/Frutos del Bosque,,,1
IBERIA,03-09-2025 20:14:49,Farmacia,ELECTROLIT ADULTO FRESA 625 ML,185.0,1593,ELECTROLIT ADULTO,Fresa,"No especificada en el nombre del producto, pero podría ser Electrolit si es una marca registrada para este tipo de bebidas.",625 ml
IBERIA,03-09-2025 20:14:49,Farmacia,ENTEREX STRAWBERRY 400 GRS,875.0,1594,STRAWBERRY,,ENTEREX,400 GRS
IBERIA,03-09-2025 20:14:49,Farmacia,ENTEREX TOTAL FRESA 8 ONZ,160.0,1595,TOTAL FRESA,,ENTEREX,8 ONZ
IBERIA,03-09-2025 18:01:08,Abarrotes,JABÓN HENO DE PRAVIA 150 GR,155.0,713,JABÓN HENO DE PRAVIA,,,150 GR
IBERIA,03-09-2025 18:01:08,Abarrotes,JABON LIQUIDO CUABA DE PRIMERA 2 LT,165.0,714,JABON LIQUIDO CUABA,DE PRIMERA,CUABA,2 LT
IBERIA,03-09-2025 20:14:49,Farmacia,ENTEREX TOTAL VAINILLA 8 ONZ,155.0,1596,TOTAL VAINILLA,,ENTEREX,8 ONZ
IBERIA,03-09-2025 20:14:49,Farmacia,ENTEREX VAINILLA 400 GRS,875.0,1597,VAINILLA,,ENTEREX,400 GRS
IBERIA,03-09-2025 18:01:08,Abarrotes,JABON PROTEX 3 PACK 110G OATS,175.0,715,PROTEX,OATS,PROTEX,3 pack 110g
IBERIA,03-09-2025 18:01:08,Abarrotes,JABÓN PROTEX BALANCE 3PACK,175.0,716,PROTEX BALANCE,,PROTEX,3 PACK
IBERIA,03-09-2025 20:14:49,Farmacia,PEPTO BISMOL SABOR A CEREZA 118ML,250.0,1598,Pepto Bismol,Sabor a cereza,Pepto Bismol,118ml
IBERIA,03-09-2025 18:01:08,Abarrotes,JABON PROTEX COMPLETE 12 3PACK,105.0,717,PROTEX COMPLETE,,PROTEX,12 unidades
IBERIA,03-09-2025 20:14:49,Farmacia,PEPTO BISMOL SABOR CEREZA 236ML,410.0,1599,PEPTO BISMOL,Sabor cereza,Pepto Bismol,236ml
IBERIA,03-09-2025 18:01:08,Abarrotes,JAJA GUANDULES VERDES 15 OZ,105.0,718,GUANDULES VERDES,,JAJA,15 OZ
IBERIA,03-09-2025 20:14:49,Farmacia,PEPTO-BISMOL ORIGINAL 8 OZ,410.0,1600,PEPTO-BISMOL,Original,Pepto-Bismol,8 oz
IBERIA,03-09-2025 18:01:08,Abarrotes,JAJA GUANDULES VERDES 8 OZ,56.0,719,GUANDULES VERDES,,JAJA,8 OZ
IBERIA,03-09-2025 20:14:49,Farmacia,VICK VAPORUB 50 GR,235.0,1601,VICK VAPORUB,,VICK,50 GR
IBERIA,03-09-2025 18:01:08,Abarrotes,JAJA GUANDULES VERDES C/COCO 15 OZ,125.0,720,GUANDULES VERDES,C/COCO,JAJA,15 OZ
IBERIA,03-09-2025 20:21:22,Higiene y Aseo,ALWAYS DIARIOS RESPIRABLES 40,175.0,1602,ALWAYS DIARIOS RESPIRABLES,,ALWAYS,40
IBERIA,03-09-2025 18:01:08,Abarrotes,JAJA GUANDULES VERDES C/COCO 24/8OZ,80.0,721,GUANDULES VERDES,C/COCO,JAJA,24/8OZ
IBERIA,03-09-2025 20:21:22,Higiene y Aseo,CDC COLGATE TOTAL SALUD VISIBLE 3X75 ML,420.0,1603,TOTAL SALUD VISIBLE,,COLGATE,3x75 ml
IBERIA,03-09-2025 18:01:08,Abarrotes,JAJA HABICHUELA ROJAS 15 OZ,85.0,722,Habichuela Roja,,JAJA,15 Oz
IBERIA,03-09-2025 20:21:22,Higiene y Aseo,COLGATE LW COFFEE STAINS 70G,250.0,1604,COFFEE STAINS,,COLGATE,70g
IBERIA,03-09-2025 18:01:08,Abarrotes,JAJA HABICHUELAS NEGRAS 15 OZ,85.0,723,Habichuelas Negras,,JAJA,15 Oz
IBERIA,03-09-2025 18:01:08,Abarrotes,JAJA MAIZ DULCE 8 OZ,56.0,724,MAIZ DULCE,,JAJA,8 OZ
IBERIA,03-09-2025 20:21:22,Higiene y Aseo,COLGATE TOTAL CLEAN MINT 160ML,335.0,1605,TOTAL CLEAN MINT,dental care product with mint flavor,Colgate,160ml
IBERIA,03-09-2025 20:21:22,Higiene y Aseo,ENJUAGUE VOCAL LISTERINE ORIGINAL 500 ML,410.0,1606,Enjuague vocal,Original,Listerine,500 ml
IBERIA,03-09-2025 18:01:08,Abarrotes,JAJA MAIZ DULCE EN GRANO 15 OZ,80.0,725,MAIZ DULCE EN GRANO,,JAJA,15 OZ
IBERIA,03-09-2025 20:21:22,Higiene y Aseo,HERBAL ESS ACOND. HIDRADISIACO 300 ML,190.0,1607,Acondicionador Hidrasiaco,,Herbal Essences,300 ml
IBERIA,03-09-2025 18:01:08,Abarrotes,JAJA SALCHICHAS DE PAVO 5 OZ,48.0,726,SALCHICHAS DE PAVO,,JAJA,5 oz
IBERIA,03-09-2025 20:21:22,Higiene y Aseo,JABON DE LAVAR RIO 5 UD,25.0,1608,JABON DE LAVAR,RIO,,5 UD
IBERIA,03-09-2025 18:01:08,Abarrotes,JOHNNIE WALKER BLACK LABEL 75 CL,2050.0,727,JOHNNIE WALKER BLACK LABEL,,JOHNNIE WALKER,75 CL
IBERIA,03-09-2025 20:21:22,Higiene y Aseo,JABON LIQUIDO INTIMO HIGISOL GEL 8OZ,120.0,1609,JABON LIQUIDO INTIMO,HIGISOL GEL,Higisol,8oz
IBERIA,03-09-2025 18:01:08,Abarrotes,JOHNNIE WALKER GOLD LABEL RESERVE 75 CL,4100.0,728,JOHNNIE WALKER GOLD LABEL RESERVE,,JOHNNIE WALKER,75 CL
IBERIA,03-09-2025 20:21:22,Higiene y Aseo,JABON PROTEX LIMP PROF 3X110GR,175.0,1610,PROTEX LIMP PROF,"jabón en barra, presentación de 3 unidades de 110 gramos cada una",Protex,3x110gr
IBERIA,03-09-2025 20:21:22,Higiene y Aseo,KOTEX NOCTURNA 8 UD,100.0,1611,KOTEX NOCTURNA,,KOTEX,8 UD
IBERIA,03-09-2025 18:01:08,Abarrotes,JUGO NARANJA 100% RICA 1/2 GALON,230.0,730,JUGO NARANJA,100%,RICA,1/2 GALON
IBERIA,03-09-2025 18:01:08,Abarrotes,JUGO MANZANA RICA 1/2 GL,135.0,729,Jugo Manzana Rica,,Rica,1/2 Gl
IBERIA,03-09-2025 20:21:22,Higiene y Aseo,KOTEX NOCTURNA MANZANILLA 8 UD,100.0,1612,KOTEX NOCTURNA,MANZANILLA,KOTEX,8 UD
IBERIA,03-09-2025 18:01:08,Abarrotes,JUGO NARANJA 100% SIN AZUCAR RICA 1/2 GL,270.0,731,Jugo Naranja,100% sin azúcar,Rica,1/2 galón
IBERIA,03-09-2025 18:01:08,Abarrotes,JUGO PERA RICA 32 0NZ,75.0,732,Jugo,Pera Rica,No especificada,32 oz
IBERIA,03-09-2025 20:21:22,Higiene y Aseo,NOSOTRAS BUENAS NOCHES NATURAL TELA TIPO ALGODON,140.0,1613,BUENAS NOCHES,NATURAL TELA TIPO ALGODON,NOSOTRAS,
IBERIA,03-09-2025 18:01:08,Abarrotes,JUGO WHITE GRAPE WELCH’S / 64 0Z.,410.0,733,JUGO WHITE GRAPE,,WELCH’S,64 OZ
IBERIA,03-09-2025 20:21:22,Higiene y Aseo,NOSOTRAS PLUS RAPISEC PLUS,105.0,1614,RAPISEC PLUS,,NOSOTRAS PLUS,
IBERIA,03-09-2025 18:01:08,Abarrotes,KANNY LECHE EN POLVO FUNDA 1500 GR.,1150.0,734,LECHE EN POLVO,FUNDA,KANNY,1500 GR
IBERIA,03-09-2025 20:21:22,Higiene y Aseo,NOSOTRAS PLUS TELA CANAL GEL 30X10 RF:02,105.0,1615,TELAGEL,"canal gel, reforzada en los bordes",NOSOTRAS PLUS,30x10
IBERIA,03-09-2025 18:01:08,Abarrotes,KANNY LECHE EN POLVO FUNDA 2000 GR.,1150.0,735,LECHE EN POLVO,FUNDA,KANNY,2000 GR
IBERIA,03-09-2025 20:21:22,Higiene y Aseo,PALMOLIVE JABON NAT. SEC. CASTAÑA 4X120GR,90.0,1617,JABON NAT. SEC. CASTAÑA,,Palmolive,4x120gr
IBERIA,03-09-2025 18:01:08,Abarrotes,KANNY LECHE EN POLVO FUNDA 350 GR.,260.0,736,LECHE EN POLVO,FUNDA,KANNY,350 GR
IBERIA,03-09-2025 20:21:22,Higiene y Aseo,PALMOLIVE JABON NAT SEC. UCUUBA 4X120GR,205.0,1616,JABON NAT SEC. UCUUBA,"Seco, con aceite de ucuuba (puede incluir otras características no especificadas)",PALMOLIVE,4x120GR
IBERIA,03-09-2025 20:21:22,Higiene y Aseo,PAPEL FAMILIAR AROMA BEBE 12X4 ROLLOS,180.0,1618,Papel Familiar,Aroma Bebé,,12x4 rollos
IBERIA,03-09-2025 20:21:22,Higiene y Aseo,PH SCOTT CUIDADO COMP 3P 4X12X290,605.0,1619,PH SCOTT CUIDADO,COMP 3P,SCOTT,4X12X290
IBERIA,03-09-2025 18:01:08,Abarrotes,KANNY LECHE EN POLVO FUNDA 900 GR.,525.0,737,LECHE EN POLVO,FUNDA,KANNY,900 GR
IBERIA,03-09-2025 18:01:08,Abarrotes,KELLOGGS CORN FLAKES 16X530G MEX,285.0,738,CORN FLAKES,,KELLOGGS,16x530g
IBERIA,03-09-2025 20:21:22,Higiene y Aseo,PROTEX JABON CON OMEGA 3 110GR 3PACK,175.0,1620,JABON CON OMEGA 3,Contiene Omega 3,PROTEX,3 pack
IBERIA,03-09-2025 20:21:22,Higiene y Aseo,SUAVE ULTRA BT 2 PLY 280 SHEETS 6 ROLLOS,140.0,1621,SUAVE ULTRA BT 2 PLY,280 hojas,SUAVE,6 rollos
IBERIA,03-09-2025 18:01:08,Abarrotes,KELLOGGS ZUCARITAS 260 GR,205.0,740,Zucaritas,,Kellogg's,260 gr
IBERIA,03-09-2025 18:01:08,Abarrotes,KELLOGGS CORN FLAKES 24/370G 1,240.0,739,CORN FLAKES,,KELLOGGS,370G
IBERIA,03-09-2025 20:21:22,Higiene y Aseo,TOALLA NOSOTRAS MATERNIDAD TELA 10 UD,235.0,1622,TOALLA NOSOTRAS MATERNIDAD,TELA,NOSOTRAS,10 UD
IBERIA,03-09-2025 18:01:08,Abarrotes,KELLOGGS ZUCARITAS 490 GR,295.0,741,Zucaritas,,Kellogg's,490 gr
IBERIA,03-09-2025 20:33:34,Hogar,COMINO MOLIDO ESP.ORIENTE 56GR 24/1,135.0,1623,Comino Molido,Esp. Oriente,,56gr
IBERIA,03-09-2025 20:33:34,Hogar,MAICERA EXTRAFINA CHOCOLATE 12 OZ,70.0,1624,MAICERA,EXTRAFINA CHOCOLATE,,12 OZ
IBERIA,03-09-2025 18:01:08,Abarrotes,KINDER JABON MIEL 4UD DE 75G,90.0,743,Kinder Jabón Miel,,Kinder,4 ud de 75g
IBERIA,03-09-2025 20:33:34,Hogar,MAYONESA MANICERA 1/2 GAL. REF. 10094018,450.0,1625,MAYONESA,MANICERA,Manicera,1/2 GAL.
IBERIA,03-09-2025 18:01:08,Abarrotes,KINDER JABON ALOE VERA 75G 4 BARRAS,90.0,742,JABON ALOE VERA,Kinder,Kinder,4 barras
IBERIA,03-09-2025 18:01:08,Abarrotes,KINSU SOPA POLLO PICANTE 24/85GR,25.0,744,SOPA POLLO PICANTE,picante,KINSU,24x85GR
IBERIA,03-09-2025 20:33:34,Hogar,NUTRILON SIN LACTOSA 400 GR,840.0,1626,NUTRILON SIN LACTOSA,,NUTRILON,400 GR
IBERIA,03-09-2025 18:01:08,Abarrotes,KINSU SOPAS SABOR VEGETALES 24/85GR,30.0,745,SOPAS,Sabor Vegetales,KINSU,24 x 85GR
IBERIA,03-09-2025 18:01:08,Abarrotes,KIWIS LB,195.0,746,KIWIS,,,LB
IBERIA,03-09-2025 20:33:34,Hogar,ORIENTE COLORANTE ALIMENTARIO 85G #0905,170.0,1627,COLORANTE ALIMENTARIO,#0905,ORIENTE,85g
IBERIA,03-09-2025 20:33:34,Hogar,TRI-GASTRO-LV 14 PANALAB,5050.0,1628,TRI-GASTRO-LV,,PANALAB,
IBERIA,03-09-2025 18:01:08,Abarrotes,KRAFT 100% PARMESANO Y ROMANO 8 OZ,565.0,747,PARMESANO Y ROMANO,,KRAFT,8 OZ
IBERIA,03-09-2025 18:01:08,Abarrotes,KRAFT AVOCADO OIL MAYO 12Z,170.0,748,AVOCADO OIL MAYO,,KRAFT,12Z
IBERIA,03-09-2025 20:39:45,Muebleria,MUEBLE JOB 2-1-1 GRIS CREMA,11250.0,1629,MUEBLE JOB,2-1-1 GRIS CREMA,,
IBERIA,03-09-2025 20:40:06,Pan,PAN INTEGRAL FAMILIAR LUMIJOR,165.0,1630,PAN INTEGRAL FAMILIAR,,LUMIJOR,
IBERIA,03-09-2025 20:40:06,Pan,PAN LUMIJOR HAMBURGESA JUMBO 12 UD,180.0,1631,PAN LUMIJOR HAMBURGESA,JUMBO,LUMIJOR,12 UD
IBERIA,03-09-2025 18:01:08,Abarrotes,KRAFT CREMORA NON DAIRY 22 OZ (624GR),410.0,750,CREMORA NON DAIRY,,KRAFT,624GR
IBERIA,03-09-2025 20:40:06,Pan,PAN PEPIN VIGA PEQUEÑA 14 OZ,110.0,1632,PAN PEPIN VIGA PEQUEÑA,,PEPIN,14 Oz
IBERIA,03-09-2025 18:01:08,Abarrotes,KRAFT MACARRONI Y CHEESE 7.25 OZ,95.0,751,MACARRONI Y CHEESE,,KRAFT,7.25 OZ
IBERIA,03-09-2025 18:01:08,Abarrotes,KRAFT MAYO 12/12OZ #8372,170.0,752,MAYO,,KRAFT,12 OZ
IBERIA,03-09-2025 18:01:08,Abarrotes,KRAFT CREMORA NON DAIRY /11 ONZAS 312 GR,245.0,749,CREMORA NON DAIRY,,KRAFT,11 ONZAS / 312 GR
IBERIA,03-09-2025 20:40:06,Pan,PAN SANDWICH FAMILIAR LUMIJOR,150.0,1633,PAN SANDWICH FAMILIAR,,LUMIJOR,
IBERIA,03-09-2025 18:01:08,Abarrotes,KRAFT MAYO 15 OZ,170.0,753,MAYO,,KRAFT,15 OZ
IBERIA,03-09-2025 20:40:06,Pan,PAN SANDWICH PERSONAL LUMIJOR BLANCO,120.0,1634,PAN SANDWICH PERSONAL,LUMIJOR BLANCO,LUMIJOR,
IBERIA,03-09-2025 18:01:08,Abarrotes,KRAFT MAYO 30 OZ,305.0,754,MAYO,,KRAFT,30 OZ
IBERIA,03-09-2025 20:41:05,Panaderia y Reposteria,BOLIN PAN MINI CLUB,135.0,1635,BOLIN PAN MINI CLUB,,Bolin,
IBERIA,03-09-2025 18:12:21,Abarrotes,LIBBYS SALCHICHAS VIENNA 5 OZ,75.0,881,SALCHICHAS VIENNA,,LIBBYS,5 oz
IBERIA,03-09-2025 16:49:50,Abarrotes,AAHAA GALLETA VAINILLA 180GX48,40.0,4,Galleta Vainilla,,AAHAA,180g x 48
IBERIA,03-09-2025 20:41:05,Panaderia y Reposteria,BOLIN PAN BOLINITOS MINI-BUFFET,135.0,1636,Bolin Pan Bolinitos Mini-Buffet,,Bolin,
IBERIA,03-09-2025 18:46:13,Abarrotes,ORIENTE CEBOLLA DESHIDRATADA 85GRS,100.0,1133,CEBOLLA DESHIDRATADA,,ORIENTE,85GRS
IBERIA,03-09-2025 19:08:50,Abarrotes,SALCHICHAS VIENA SABROSA INDUVECA /10 OZ,70.0,1322,SALCHICHAS VIENA,SABROSA,INDUVECA,10 OZ
IBERIA,03-09-2025 19:08:50,Abarrotes,SAZON EL COCINERO VERDURAS 14.3 OZ REF.,60.0,1385,Sazon El Cocinero,Verduras,El Cocinero,14.3 oz
IBERIA,03-09-2025 18:46:13,Abarrotes,ORIENTE CILANTRICO MOLIDO DE FCO 85GR/12,115.0,1134,Cilantro molido,,ORIENTE,85 gr/12
IBERIA,03-09-2025 18:12:21,Abarrotes,LIMON PERSA LB,34.0,882,LIMON PERSA,,,LB
IBERIA,03-09-2025 19:08:50,Abarrotes,SAZON EL COCINERO VERDURAS 28 OZ REF. 10,105.0,1386,Sazon El Cocinero Verduras,,El Cocinero,28 Oz
IBERIA,03-09-2025 19:08:50,Abarrotes,SALCHICHAS VIENNA JAJA /15 OZ,90.0,1323,SALCHICHAS VIENNA,,JAJA,15 Oz
IBERIA,03-09-2025 16:49:50,Abarrotes,ACEITE CRISOL 96 OZ,420.0,5,ACEITE CRISOL,,CRISOL,96 OZ
IBERIA,03-09-2025 18:12:21,Abarrotes,LIMPIA INODORO DE PRIMERA 2 LITROS,155.0,883,LIMPIA INODORO,DE PRIMERA,Primera,2 litros
IBERIA,03-09-2025 18:46:13,Abarrotes,ORIENTE PIMIENTA NEGRA ENTERA 56 GR,110.0,1135,Pimienta Negra Entera,,ORIENTE,56 GR
IBERIA,03-09-2025 19:08:50,Abarrotes,SALSA CHILI SRIRACHA ROLAND 12/17 OZ.,445.0,1324,Salsa Chili Sriracha,,Roland,12/17 oz
IBERIA,03-09-2025 19:08:50,Abarrotes,SAZON LIQUIDO CONSTANZA 14OZ 24/1,65.0,1387,Sazon Liquido Constanza,,Constanza,14oz
IBERIA,03-09-2025 19:08:50,Abarrotes,SALSA CHINA CONSTANZA /5 0Z,45.0,1325,Salsa China Constanza,,Constanza,5 oz
IBERIA,03-09-2025 18:12:21,Abarrotes,LIMPIA LIQUIDO FABULOSO LAVANDA 1GAL.,270.0,884,FABULOSO LAVANDA,LIMPIA LIQUIDO,FABULOSO,1GAL
IBERIA,03-09-2025 18:46:13,Abarrotes,ORIETE JENGIBRE MOLIDO SOBRE 28.5GRS,165.0,1136,Jengibre Molido,,ORIETE,28.5 grs
IBERIA,03-09-2025 19:08:50,Abarrotes,SAZON LIQUIDO EL COCINERO 395GR,70.0,1388,Sazon Liquido El Cocinero,,El Cocinero,395gr
IBERIA,03-09-2025 19:08:50,Abarrotes,SALSA CONDIMENTADA LA FAMOSA 300 GRS #07,75.0,1326,Salsa condimentada,La famosa,La Famosa,300 grs
